,description,positive,neutral,negative,overall
14,A new initiative is aiming to make the shelves of major US retailers a better reflection of the streets of America.,0.086,0.914,0.0,0.4404
15,The US Marine Corps has ordered the removal of all public displays of the Confederate flag from Marine installations.,0.0,0.893,0.107,-0.5574
16,"Coral reefs are facing their own pandemic. For years, people have compromised the immunity of these ecosystems through pollution and overfishing. Meanwhile, climate change has created a fever in our oceans by raising temperatures and acidifying seas. The resulting outbreak has decimated approximately half of the world's reefs.",0.041,0.959,0.0,0.3612
17,"A retired Chinese soccer star has openly called for the downfall of China's ruling Communist Party, in what he says was the ""biggest and most correct decision"" of his life.",0.065,0.935,0.0,0.4019
18,"The economy is reopening and life is slowly getting back on track, but it's not back to normal. High unemployment rates and the need to socially distance will have lasting effects on how and where we work.",0.0,0.929,0.071,-0.5927
19,Anti-racism protesters in England have pulled down a statue of a 17th-century slave trader while demonstrating in solidarity with the US Black Lives Matter movement.,0.103,0.779,0.118,-0.128
20,"Banksy, perhaps the most well-known anonymous artist and social critic in the world, is showing his support for the Black Lives Matter movement with a new piece of art and a stark message: ""People of Colour are being failed by the system.""",0.161,0.741,0.098,0.3612
21,"Sixty-three years ago, a pancake house opened in California that spawned a nationwide restaurant chain.",0.087,0.913,0.0,0.2023
22,"Remember when ""Black Lives Matter"" was still considered a controversial thing to say?",0.049,0.854,0.097,-0.264
23,"A 60-year-old surfer died Sunday in Australia after being bitten by a great white shark that was nearly ten feet long, authorities say.",0.211,0.696,0.093,0.6808
24,More than 140 scientists who have received funding and support from Mark Zuckerberg's philanthropic organization wrote to the Facebook CEO Saturday expressing concern about how he handled President Donald Trump's posts on the platform.,0.079,0.921,0.0,0.4215
25,"Which came first, the chicken or the egg? If we're talking menus, you might be inclined to say ""egg,"" if only for its ubiquity at breakfast. But the egg is the star of many other meals, too, and it is beloved for its workhorse qualities in recipes the world over.",0.126,0.874,0.0,0.8176
26,"Record stimulus efforts are facilitating the global recovery from the steepest economic downturn since the Great Depression. That means it's time to spend even more, investors and economists say.",0.09,0.83,0.081,0.1027
27,"Who would want to lose their job in the middle of the worst job market since the Great Depression? Believe or not, thousands of people would.",0.12,0.646,0.234,-0.7269
28,"It's getting easier to shop for a new car again now that dealerships across the United States are starting to open up following the coronavirus lockdowns. But don't go shopping with your heart set on anything specific. It's going to be harder to find the exact car, truck or SUV of your dreams.",0.194,0.806,0.0,0.9217
29,"In Washington, DC, alone, there has been a dizzying array of security personnel deployed in the last few days. From members of the military to DC police to the US Bureau of Prisons, the streets have become an alphabet soup of acronyms when it comes to law enforcement and security personnel, all designated -- by various levels of government -- to seemingly promote safety. But, as Americans countrywide exercise their constitutional right to protest peacefully, unnecessary assaults on democratic freedoms and civil liberties have proliferated.",0.184,0.743,0.072,0.891
30,There has been so much anxiety and anger in the country these past few months — and certainly over the last week — that a calm voice and steady hand can be very hard to find.,0.171,0.67,0.159,0.1352
31,The NFL is sorry.,0.0,0.885,0.115,-0.0772
32,We can't jog and be black. We can't barbecue and be black. We can't bird watch and be black. We can't sleep in our bed and be black. We can't even sit in our own car and be black.,0.0,1.0,0.0,0.0
33,"Of all the institutions the Trump presidency is harming, it's likely no one suspected the Republican National Convention might be one of them. But President Donald Trump's refusal to fully acknowledge the risks associated with the pandemic is creating a new political threat to his own candidacy.",0.036,0.703,0.261,-0.9147
34,"Fifty-two years ago this weekend, Robert F. Kennedy, then the junior senator from New York and a leading candidate for the Democratic presidential nomination, died in Los Angeles, the victim of a political assassination. I've been looking again at the final months of his life, which were largely shaped by the murder of Martin Luther King, Jr. The words he spoke the night of April 4, 1968, when King was assassinated, and in the days following feel tailor-made for own moment in 2020. And his efforts at guidance as a presidential candidate during those weeks leading up to his own death on June 6, bring into stark relief the stunning dereliction of leadership shown in 2020 by President Donald Trump.",0.04,0.83,0.129,-0.926
35,"Chiranjeevi Sarja, a famous Indian actor, has passed away at the age of 39.",0.0,1.0,0.0,0.0
36,"An end to ""copycat"" buildings and a ban on skyscrapers taller than 500 meters (1,640 feet) are among the Chinese government's new guidelines for architects, property developers and urban planners.",0.0,0.864,0.136,-0.7003
37,DC Mayor Muriel Bowser said Sunday she believes the federal law enforcement response to protests after the police killing of George Floyd encouraged more people to participate and do so peacefully.,0.129,0.716,0.155,-0.0859
38,"When news broke months ago about the country's first coronavirus outbreak at a nursing home, Linda Mayberry immediately recognized the home's corporate logo as it flashed across her television screen. It was the same one emblazoned throughout the long-term care facility where she lived.",0.057,0.893,0.05,0.1027
39,A Texas Republican county chairman-elect said Saturday he won't assume office amid backlash over posting a controversial image of a Martin Luther King Jr. quote with a banana in the picture.,0.0,0.951,0.049,-0.2023
40,A Philadelphia police inspector is facing charges after prosecutors said a video shows him striking a student protester on the head with a metal baton.,0.0,0.878,0.122,-0.4404
41,"The front door of Arthur Lewis' Los Angeles home opens to a room organized like an exhibition space. The marks of domesticity -- dining room table, mantel, fireplace, throw pillows -- are present, but engulfed by art. Paintings and sculptures grab all the attention, and maybe the intention, of the space.",0.088,0.912,0.0,0.5423
42,"American photographer Elsa Dorfman, known for her intimate large-scale portraits of well-known figures including Bob Dylan, Allen Ginsberg and Faye Dunaway, died last Saturday at age 83.",0.0,0.821,0.179,-0.802
43,"Austria has unveiled plans to transform Adolf Hitler's birthplace into a police station, following years of debate and legal wrangling over the controversial site.",0.046,0.898,0.056,-0.0772
44,"In a video installation by James Joyce, a yellow circle rotates as two black ovals and a curved line tumble at the bottom, thwarted by gravity. Watching the video, Perseverance in the Face of Absurdity, which was projected at Banksy's pop-up dystopian theme park, Dismaland in 2015, one can mentally reassemble the three shapes into their familiar formation: two eyes and a swooping smile.",0.036,0.948,0.016,0.34
45,"In the wake of George Floyd's death at the hands of a Minneapolis police officer, artists have been quick to respond with works that seek to memorialize, to provoke and to heal.",0.045,0.82,0.135,-0.6597
46,"Bruce Lee isn't an obvious fit for ESPN, beyond the fact lots of people enjoyed his action movies. Yet ""Be Water"" proves an excellent addition to the network's lineup of documentaries to fill the sports void, examining the martial-arts star's legacy and the circuitous, discrimination-marred path he followed to his too-short stardom.",0.108,0.86,0.032,0.7087
47,"""Can I navigate home? This place that I call home? And if I can't, then is it really?""",0.139,0.861,0.0,0.5007
48,"Dwayne ""The Rock"" Johnson posted a video calling out President Donald Trump in the wake of George Floyd's death.",0.0,0.843,0.157,-0.5994
49,"""Late Show"" host Stephen Colbert is weighing in on the treatment of peaceful protestors at nationwide demonstrations against police brutality and systematic racism.",0.084,0.705,0.211,-0.7096
